,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
404,"Grille, La",Shield,Comoros,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,-11.47,43.33,154373.0,154373.0,243474.0,371795.0,1087,3566
405,Grimsnes,Crater rows,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),holocene,3500 BCE,64.05,-20.883,6253.0,6253.0,11236.0,197798.0,200,656
407,Groppo,Volcanic field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,11.816,40.242,2411.0,10358.0,93790.0,2462199.0,852,2795
409,Guagua Pichincha,Stratovolcano,Ecuador,South America,Ecuador,holocene,2002 CE,-0.171,-78.598,449.0,32488.0,2064475.0,3581801.0,4784,15696
411,Guayaques,Lava dome,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,-22.895,-67.566,2.0,26.0,408.0,9770.0,5598,18366
412,Guazapa,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Uncertain,13.9,-89.12,6492.0,94131.0,2488228.0,6800406.0,1438,4718
413,Gufa,Volcanic field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,12.55,42.53,1651.0,1651.0,6301.0,186649.0,600,1969
415,Guntur,Complex,Indonesia,Indonesia,Java,holocene,1847 CE,-7.143,107.841,4652.0,218012.0,3412038.0,24486191.0,2251,7385
416,Gunungapi Wetar,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1699 CE,-6.642,126.65,2.0,2.0,2.0,2.0,282,925
417,Hachijojima,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1606 CE,33.137,139.766,11275.0,13560.0,13564.0,14082.0,854,2802
418,Hachimantai,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,5350 BCE,39.958,140.854,268.0,1261.0,89833.0,3131126.0,1613,5292
419,Hainan Volcanic Field,Pyroclastic cone,China,Philippines and SE Asia,Southeast Asia,holocene,1933 CE,19.905,110.229,1731229.0,1731229.0,1731229.0,6213231.0,196,643
420,Hakkodasan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1550 CE,40.659,140.877,225.0,730.0,476624.0,1921667.0,1585,5200
421,Hakoneyama,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,2015 CE,35.233,139.021,14140.0,53755.0,1543563.0,30282197.0,1438,4718
422,Hakusan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1659 CE,36.155,136.771,474.0,807.0,63965.0,5959200.0,2702,8865
423,Haleakala,Shield,United States,Hawaii and Pacific Ocean,Hawaiian Islands,holocene,1750 CE,20.708,-156.25,26074.0,26074.0,65398.0,157582.0,3055,10023
424,Halla,Shield,South Korea,Kamchatka and Mainland Asia,Korea,holocene,1007 CE,33.361,126.53,134.0,2653.0,482766.0,543082.0,1919,6296
425,Hanish,Shield,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,13.72,42.73,219.0,304.0,811.0,850223.0,422,1385
427,Hargy,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Britain,holocene,950 CE,-5.33,151.1,84.0,5093.0,14613.0,85504.0,1148,3766
428,Harrat Ash Shaam,Volcanic field,Syria,Middle East and Indian Ocean,Middle East (western),holocene,2670 BCE,32.333,37.583,276996.0,276996.0,276996.0,276996.0,1100,3609
429,Harunasan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,550 CE,36.477,138.851,1135.0,36116.0,1185012.0,14076385.0,1449,4754
430,Hasan Dagi,Stratovolcano,Turkey,Mediterranean and Western Asia,Turkey,holocene,Unknown - Evidence Credible,38.13,34.17,235.0,4979.0,174584.0,1362673.0,3253,10673
433,"Haylan, Jabal",Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,1200 BCE,15.4,45.1,225754.0,225754.0,225754.0,4164209.0,1550,5085
440,Helgrindur,Pyroclastic cone,Iceland,Iceland and Arctic Ocean,Iceland (western),holocene,Unknown - Evidence Credible,64.866,-23.283,753.0,753.0,2312.0,20018.0,986,3235
442,Hengill,Crater rows,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),holocene,150 CE,64.083,-21.416,5722.0,5722.0,124106.0,204855.0,803,2635
444,Hertali,Fissure vent,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,9.78,40.33,474.0,2243.0,65271.0,2279187.0,900,2953
445,Hierro,Shield,Spain,Atlantic Ocean,Canary Islands,holocene,2012 CE,27.73,-18.03,20321.0,20321.0,20321.0,43696.0,1500,4921
446,Hijiori,Caldera,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Credible,38.599,140.162,83511.0,83511.0,302176.0,4338240.0,552,1811
447,Hiri,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,0.9,127.32,5650.0,11454.0,295487.0,550526.0,630,2067
448,Hitokappu Volcano Group [Bogatyr Ridge],Stratovolcano,Japan,Kuril Islands,Kuril Islands,holocene,Unknown - Evidence Credible,44.857,147.403,5.0,130.0,1268.0,5735.0,1610,5282
449,Hiuchigatake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1544 CE,36.955,139.285,179.0,720.0,18567.0,7523509.0,2356,7730
452,Hokkaido-Komagatake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2000 CE,42.063,140.677,173.0,23091.0,234213.0,962081.0,1131,3711
