,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
961,Rinjani,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2016 CE,8,8,10289.0,55594.0,1374441.0,3555330.0,3726,12224
963,Rishirizan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,5830 BCE,45,45,178.0,9895.0,12933.0,94414.0,1721,5646
964,Ritter Island,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,2007 CE,5,5,3.0,43.0,4323.0,68670.0,75,246
967,Romeral,Stratovolcano,Colombia,South America,Colombia,holocene,5390 BCE,5,5,236.0,2822.0,537402.0,4005655.0,3769,12365
968,Rota,Stratovolcano,Nicaragua,México and Central America,Nicaragua,holocene,Unknown - Evidence Credible,12,12,4930.0,16664.0,319797.0,3503709.0,832,2730
971,Ruang,Stratovolcano,Indonesia,Indonesia,Sangihe Islands,holocene,2002 CE,2,2,878.0,1652.0,2766.0,149159.0,725,2379
972,Ruapehu,Stratovolcano,New Zealand,New Zealand to Fiji,New Zealand,holocene,2007 CE,39,39,14.0,298.0,6901.0,119709.0,2797,9177
974,Rudakov,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,Unknown - Evidence Uncertain,45,45,11.0,18.0,39.0,643.0,532,1745
975,"Ruiz, Nevado del",Stratovolcano,Colombia,South America,Colombia,holocene,2022 CE,4,4,3849.0,20146.0,507608.0,4252435.0,5279,17320
980,Rungwe,Stratovolcano,Tanzania,Africa and Red Sea,Africa (eastern),holocene,1250 CE,9,9,644.0,20713.0,393819.0,2299914.0,2953,9688
982,Saba,Stratovolcano,Netherlands,West Indies,West Indies,holocene,1640 CE,17,17,1718.0,1718.0,1752.0,136185.0,887,2910
983,Sabalan,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (western),holocene,Unknown - Evidence Credible,38,38,136.0,762.0,103605.0,1961046.0,4784,15696
984,Sabancaya,Stratovolcano,Peru,South America,Peru,holocene,2022 CE,15,15,51.0,526.0,12678.0,1052517.0,5960,19554
985,Sahand,Stratovolcano,Iran,Middle East and Indian Ocean,Middle East (western),holocene,Unknown - Evidence Credible,37,37,163.0,1449.0,60328.0,2878308.0,3707,12162
986,Sairecabur,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,22,22,21.0,69.0,1721.0,11172.0,5961,19557
987,Sakar,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,Unknown - Evidence Uncertain,5,5,149.0,160.0,1176.0,58544.0,992,3255
988,Salak,Stratovolcano,Indonesia,Indonesia,Java,holocene,1938 CE,6,6,1367.0,80578.0,2675904.0,38154252.0,2218,7277
989,Salton Buttes,Lava dome,United States,Canada and Western USA,USA (California),holocene,210 CE,33,33,227.0,408.0,38579.0,1214088.0,-40,-131
990,Samsari Volcanic Center,Lava cone,Georgia,Mediterranean and Western Asia,Western Asia,holocene,Unknown - Evidence Uncertain,41,41,13210.0,13210.0,86563.0,1467499.0,3290,10794
991,San Borja Volcanic Field,Pyroclastic cone,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,28,28,722.0,722.0,2558.0,45359.0,1360,4462
993,San Cristobal,Stratovolcano,Nicaragua,México and Central America,Nicaragua,holocene,2022 CE,12,12,208.0,7876.0,351227.0,2002579.0,1745,5725
994,San Cristobal,Shield,Ecuador,South America,Galapagos Islands,holocene,Unknown - Evidence Credible,0,0,7661.0,7661.0,7723.0,16189.0,759,2490
995,San Diego,Volcanic field,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,14,14,130144.0,130144.0,316296.0,7169826.0,781,2562
996,San Francisco Volcanic Field,Pyroclastic cone,United States,Canada and Western USA,USA (Arizona),holocene,1075 CE,35,35,23157.0,23157.0,70472.0,190983.0,3850,12631
997,San Joaquin,Shield,Equatorial Guinea,Africa and Red Sea,Africa (western),holocene,Unknown - Evidence Credible,3,3,706.0,1432.0,16190.0,349646.0,2009,6591
998,San Jose,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1960 CE,33,33,194.0,616.0,15963.0,6615248.0,6070,19915
1000,San Martin,Shield,Mexico,México and Central America,Mexico,holocene,1796 CE,18,18,280.0,3581.0,259640.0,1645811.0,1650,5413
1001,San Miguel,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,2020 CE,13,13,1232.0,63007.0,796482.0,3633885.0,2130,6988
1002,San Pablo Volcanic Field,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,1350 CE,14,14,1349742.0,1349742.0,3039334.0,24626975.0,1090,3576
1003,San Pedro-Pellado,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,Unknown - Evidence Credible,35,35,12.0,208.0,4155.0,500494.0,3621,11880
1004,San Salvador,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,1917 CE,13,13,29514.0,800780.0,2857563.0,6366833.0,1893,6211
1005,San Vicente,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,7505.0,103854.0,864425.0,6349950.0,2182,7159
1006,Sanbesan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,650 CE,35,35,1300.0,6795.0,171742.0,3597290.0,1126,3694
1007,Sand Mountain Field,Pyroclastic cone,United States,Canada and Western USA,USA (Oregon),holocene,950 BCE,44,44,89.0,89.0,1574.0,519291.0,1664,5459
